0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-inf,-inf,-0.06499999999999997,-inf,-inf,-0.09540000000000004,-inf,-0.4249999999999999,-0.13940000000000005,-inf,-0.4697999999999999,-inf,-0.16899999999999993,-0.09219999999999995,-inf,-inf,-0.029000000000000012,-inf,-inf,-0.38420000000000004,-0.06099999999999997,-0.34659999999999996,-inf,-0.033800000000000024,-0.4834,-inf,-inf,-inf,-0.061,-0.014599999999999997,-0.10099999999999998,-inf,-inf,-inf,-inf,-0.027400000000000008,-inf,-0.17619999999999988,-inf,-inf,-0.2178,-0.045000000000000005,-0.00020000000000000147,-0.046600000000000016,-0.4121999999999999,-inf,-inf,-inf,-inf,-inf,-0.0013446027607011408,-0.0027913876044580307,-0.00023448573480952528,-3.860446376492521e-05,-2.3269307027986507e-06,-6.94337854447303e-05,-2.8430315557061466e-05,-2.3747250762143778e-05,-4.63579408265476e-05,-5.76337707370646e-05,-4.385612401021335e-05,-3.984442195568366e-05,-5.581540629472561e-05,-4.0152601881260805e-05,-5.6475742202659545e-05,-4.552942940466398e-05,-2.437761091677688e-05,-3.3461288327033375e-05,-3.70824945417607e-05,-2.385921138523759e-05,-3.8735851746435075e-05,-1.628976718932594e-05,-2.4430102543997146e-05,-4.6036388655395076e-05,-3.204499999999997e-05,-3.214768567792095e-05,-3.20591497629393e-05,-3.278225465142644e-05,-2.7344570302015642e-05,-1.172673515940787e-05,-2.7112255754168536e-05,-2.6068573209603716e-05,-2.7469194497613e-05,-2.7949524733358262e-05,-2.8309535170766612e-05,-3.0014905428102954e-05,-1.8419520483055368e-05,-2.0022955013710585e-05,-2.996036462214596e-05,-2.6999652894799826e-05,-2.0307675781399417e-05,-1.4528820087212784e-05,-3.0707671882107645e-05,-3.106245330823055e-05,-2.256162083350882e-05,-2.1788333656564504e-05,-1.3312907967993897e-05,-1.94838588056427e-05,-2.3286212600244755e-05,-2.538462930215722e-05
-0.025000000000000005,-0.16899999999999993,-0.493,-inf,-inf,-inf,-inf,-0.3386,-inf,-0.2929999999999999,-0.3226,-inf,-0.0009999999999999953,-inf,-inf,-inf,-inf,-inf,-0.20500000000000002,-0.10099999999999998,-0.6073999999999998,-0.010599999999999998,-inf,-0.19299999999999998,-0.14180000000000004,-inf,-0.4449999999999999,-0.024200000000000013,-inf,-inf,-0.1969999999999999,-inf,-0.5601999999999998,-0.029799999999999976,-0.15219999999999995,-inf,-inf,-inf,-inf,-inf,-0.0058000000000000065,-inf,-0.010600000000000004,-inf,-inf,-inf,-0.0698,-inf,-inf,-inf,-0.00033745741657685357,-0.00021038319582455714,-0.0016567551756186947,-7.453858547887855e-06,-4.161982019131114e-06,-2.304782625081483e-06,-1.2414316320263125e-06,-2.9649999999999466e-06,-1.1843824205786823e-05,-1.9647408175692332e-05,-2.175821946251518e-05,-1.8615859661346442e-05,-2.0833957984642174e-05,-2.22908431762738e-05,-2.0011785073565702e-05,-2.2833817108133383e-05,-1.766556779768188e-05,-1.5595437853891635e-05,-2.8049906401817946e-05,-1.6244513261392378e-05,-1.4082787655026847e-05,-2.116002421083547e-05,-2.525329666347812e-05,-1.714753531618138e-05,-9.364347945927194e-06,-2.533790813646724e-05,-8.956170649573516e-06,-2.862675564360201e-05,-2.6825000000000008e-05,-1.2672547726390251e-05,-3.298500000000042e-05,-2.762499999999987e-05,-1.4752613865336422e-05,-2.2488799664898944e-05,-1.2619847639244326e-05,-2.4565000000000254e-05,-3.0031049063801505e-05,-2.0182201379624054e-05,-2.0188673871563182e-05,-2.8967455753779384e-05,-1.0798750157501832e-05,-2.71608027992805e-05,-1.7593729979852806e-05,-3.750279166467435e-05,-3.464973562785077e-05,-2.135124225882398e-05,-1.62996754640094e-05,-1.1534281933406866e-05,-2.511911294888045e-05,-3.111360726343224e-05
-inf,-inf,-inf,-0.08820000000000003,-0.016999999999999987,-inf,-inf,-inf,-inf,-0.03379999999999996,-0.19299999999999998,-inf,-0.0866,-inf,-0.023400000000000004,-0.14580000000000004,-inf,-inf,-0.017,-0.07460000000000004,-0.26499999999999996,-inf,-0.15859999999999994,-inf,-0.23859999999999998,-inf,-inf,-0.005000000000000002,-inf,-inf,-inf,-inf,-inf,-inf,-0.16899999999999993,-inf,-0.0033999999999999937,-0.6249999999999998,-0.35540000000000005,-0.34419999999999995,-inf,-inf,-0.08179999999999998,-inf,-inf,-0.025000000000000005,-0.05540000000000002,-inf,-inf,-0.44899999999999995,-1.436735430934025e-05,-0.00025324876394042424,-0.00040139089630459365,-0.00014240720228285688,-1.8544383640272064e-05,-0.0001500232756834693,-1.094238398607315e-05,-3.6920703675458924e-05,-1.9897283697156915e-05,-1.2913176127507168e-05,-2.9474928853711573e-05,-2.4392735066117037e-05,-1.9627420773216e-05,-4.9789399016102623e-05,-2.8422056130881644e-05,-5.3098212788257716e-05,-2.386307225583996e-05,-4.340499999999998e-05,-2.3520028146166748e-05,-2.4687792779644316e-05,-2.3670193945956892e-05,-1.14882194641413e-05,-3.2989968156897194e-05,-5.5200340122127253e-05,-2.7061022389838505e-05,-9.294857577576002e-06,-1.4085000000000245e-05,-3.76267289920877e-05,-1.9812139718634445e-05,-3.6439822232617524e-05,-1.3925000000000342e-05,-1.891822983600908e-05,-1.6364181060637974e-05,-1.9825000000000008e-05,-2.5825000000000065e-05,-2.0068322997226237e-05,-3.929914399953706e-05,-1.4576310168216564e-05,-1.8091512787748038e-05,-2.1624999999999882e-05,-1.850067731836195e-05,-9.803036814695792e-06,-2.968899490368372e-05,-1.2505854459434842e-05,-1.7188280038611514e-05,-1.917986153861872e-05,-1.6770490394976167e-05,-1.748887014383838e-05,-2.3905155674374696e-05,-1.5224049270094098e-05
-0.030600000000000002,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.18180000000000002,-0.016999999999999987,-inf,-inf,-inf,-inf,-0.027400000000000015,-0.03699999999999998,-0.3041999999999999,-inf,-inf,-inf,-0.039400000000000004,-inf,-inf,-inf,-inf,-inf,-0.4681999999999998,-inf,-0.03859999999999998,-inf,-0.11140000000000001,-inf,-0.017000000000000015,-0.04099999999999998,-inf,-0.18500000000000003,-0.3769999999999999,-inf,-inf,-inf,-inf,-0.008199999999999995,-0.017799999999999983,-inf,-inf,-inf,-0.2106,-inf,-7.09137945478596e-05,-0.0005753041475546258,-0.0006371244447722221,-0.0010681576684094948,-6.999347442846572e-05,-9.017560840768394e-06,-2.9132472252993203e-06,-9.714686359421037e-07,-8.420453668672719e-07,-9.279720264103955e-06,-1.5980782340298463e-05,-3.4540079702539346e-05,-1.3359072794843531e-05,-1.6786030654496917e-05,-2.3293894951491233e-05,-2.62215356132747e-05,-3.2750837338203227e-05,-3.932837981127996e-05,-2.1424260537897463e-05,-4.247336788642828e-05,-2.0852666524444588e-05,-1.1135721398403615e-05,-3.167349413663536e-05,-2.7725321314296763e-05,-3.467128123745091e-05,-1.6777943719310392e-05,-2.6662806278177544e-05,-2.8968423444987517e-05,-3.173460240137049e-05,-3.793423448897553e-05,-2.3254929485743315e-05,-2.6432118879415454e-05,-3.025853511343214e-05,-2.302672463693558e-05,-9.062817467596172e-06,-1.734543733048133e-05,-2.2601389073078083e-05,-2.6599343922166452e-05,-2.2838124133604546e-05,-2.1058974895060686e-05,-2.2688523942943177e-05,-1.4320035205871679e-05,-1.5986966147452707e-05,-3.2868982841660865e-05,-1.3374468733415756e-05,-3.0419200954351302e-05,-3.5390544299245485e-05,-2.4701625262064292e-05,-1.3296821585752797e-05,-1.592412543820235e-05
-inf,-inf,-0.02980000000000002,-inf,-inf,-inf,-inf,-inf,-0.5817999999999999,-0.036999999999999984,-0.010599999999999993,-inf,-inf,-0.05220000000000001,-inf,-inf,-0.4474000000000001,-0.01220000000000001,-inf,-inf,-0.06979999999999996,-inf,-inf,-0.03619999999999998,-inf,-inf,-0.12579999999999997,-0.19940000000000005,-inf,-0.7162,-inf,-inf,-inf,-inf,-inf,-0.06340000000000003,-inf,-inf,-0.23299999999999993,-inf,-inf,-inf,-inf,-inf,-inf,-0.0338,-inf,-inf,-inf,-inf,-0.0010284629554356297,-0.0003017883814205425,-8.775109780160222e-05,-0.00028337069763203837,-2.207991365846208e-05,-3.6772114609499036e-06,-5.61194072186243e-07,-1.953401636374904e-05,-3.5754324004077417e-05,-3.183928919053685e-05,-3.6518550176430135e-05,-5.4049847899747156e-05,-2.1039641405794064e-05,-4.0531445938666116e-05,-2.9314320041196948e-05,-4.81994683989756e-05,-1.3505000000000285e-05,-3.12674697874136e-05,-3.763297429804926e-05,-2.2587537516187924e-05,-4.565357462131056e-05,-2.473701456280795e-05,-2.7532621144783425e-05,-3.2605000000000044e-05,-5.891017404254381e-05,-3.241511827484409e-05,-1.2384999999999737e-05,-1.9123805062157763e-05,-1.0025000000000012e-05,-2.3579351320458598e-05,-2.076371674007741e-05,-3.468952230634586e-05,-2.7249034358067667e-05,-2.8751199075839902e-05,-3.0668089265580535e-05,-2.1948041285693828e-05,-2.9366374939160878e-05,-1.7154215102879734e-05,-1.296893137889396e-05,-2.3852365808980934e-05,-1.5183329276109112e-05,-1.8502499725821596e-05,-1.9391899973405767e-05,-2.5114363819217693e-05,-2.1305943674925813e-05,-2.6127865129259073e-05,-1.4651414371299923e-05,-1.7159008757486137e-05,-2.5650160989736163e-05,-1.5362079128898078e-05
-inf,-0.23859999999999998,-inf,-inf,-inf,-0.014600000000000014,-inf,-inf,-inf,-0.07380000000000003,-0.060999999999999985,-inf,-0.065,-inf,-0.03379999999999996,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.012199999999999997,-0.029800000000000014,-0.014600000000000002,-0.05299999999999997,-inf,-inf,-0.02980000000000002,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.32500000000000007,-inf,-inf,-inf,-inf,-0.10099999999999995,-0.5089999999999999,-inf,-inf,-inf,-0.0004589111932968985,-0.0009109302457378012,-6.264170880283005e-05,-0.0007268601024956933,-1.3306868692512332e-05,-3.940930651175677e-06,-6.54576083674581e-06,-1.8200741352203502e-06,-4.079663403750214e-05,-1.2544067245968965e-05,-1.1846680168596548e-05,-4.8168949793031866e-05,-1.3917068647514315e-05,-3.0530622787468386e-05,-4.202500000000013e-05,-1.9876196794888834e-05,-2.0040635212742528e-05,-4.4768592943884194e-05,-3.9745000000000345e-05,-2.051542631843877e-05,-1.799229970328907e-05,-2.8531222268065283e-05,-3.317708450175366e-05,-2.01202619775057e-05,-2.584450334375944e-05,-2.377915658497203e-05,-4.6428929058566824e-05,-3.938586894771011e-05,-2.1471505285049456e-05,-1.598045178670744e-05,-3.063603121755325e-05,-1.5364960023473306e-05,-4.31218811728459e-05,-2.293411369771809e-05,-3.732500000000003e-05,-2.948500000000002e-05,-1.5688447251760973e-05,-2.906500000000029e-05,-1.0309596165591398e-05,-2.7652799558412885e-05,-1.8419529007042518e-05,-1.7639806579118015e-05,-2.335924635228263e-05,-1.1499756618049373e-05,-2.218161623967175e-05,-1.8088375203187327e-05,-4.049689065655288e-05,-2.685187567625897e-05,-1.0350284882613567e-05,-1.5666703701992465e-05
-inf,-inf,-inf,-0.10099999999999992,-inf,-inf,-inf,-0.09219999999999995,-inf,-inf,-inf,-0.16019999999999995,-0.07300000000000004,-inf,-0.533,-inf,-inf,-inf,-inf,-0.003400000000000006,-0.017799999999999996,-0.044199999999999975,-inf,-0.0018,-0.014600000000000002,-inf,-inf,-inf,-inf,-0.1066,-inf,-inf,-inf,-inf,-inf,-inf,-0.20980000000000004,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.03060000000000001,-inf,-0.005000000000000001,-inf,-inf,-0.05299999999999999,-0.000633933372424893,-2.414073067169048e-05,-0.00032492465762603667,-9.892775027531991e-05,-1.454453846504737e-05,-5.937344654038235e-06,-3.5902944492753347e-06,-0.00010566706622941045,-1.1942469569288521e-05,-1.1380101176118567e-05,-5.263162259947301e-06,-3.162291474021416e-06,-4.296500000000002e-05,-1.4625180900287229e-05,-4.977681855502134e-05,-1.2408550002689558e-05,-9.79741867642359e-06,-4.511942642354305e-05,-1.1562147632573811e-05,-1.0132283366075815e-05,-5.369894493530319e-06,-3.36246940688078e-05,-2.6660537624064447e-05,-6.649286932465958e-06,-1.9498263434904237e-05,-2.2581980634654103e-05,-5.702116943713717e-06,-2.2453881016247667e-05,-2.1337625050972012e-05,-1.559499527298145e-05,-2.8806035559314087e-05,-1.9664414206146782e-05,-1.1971218643014505e-05,-1.2870683592902521e-05,-2.501614305049472e-05,-2.2470392059833607e-05,-8.787020826415051e-06,-2.6517271371097747e-05,-1.1474370524975094e-05,-1.8074951917523786e-05,-1.853777161439869e-05,-1.5490489825010097e-05,-1.7741256171691663e-05,-3.64878518798463e-05,-1.182172481623418e-05,-1.2647180038624733e-05,-1.892388842748597e-05,-8.906089213266609e-06,-1.597382483549301e-05,-1.7107073374725028e-05
-0.03939999999999999,-inf,-0.03140000000000001,-inf,-0.34659999999999996,-inf,-inf,-0.05299999999999997,-inf,-0.3298,-inf,-inf,-0.45619999999999983,-0.0018000000000000032,-0.005000000000000003,-0.421,-0.03619999999999998,-inf,-inf,-inf,-0.07780000000000001,-0.089,-inf,-0.05539999999999999,-inf,-0.044199999999999975,-inf,-inf,-inf,-inf,-inf,-0.37059999999999993,-0.03700000000000002,-inf,-inf,-inf,-inf,-0.20179999999999995,-inf,-inf,-0.7162,-inf,-inf,-inf,-0.17299999999999988,-inf,-inf,-inf,-inf,-inf,-0.0013424904197242256,-0.00019121705486404425,-0.0003927633457761446,-1.394432531849376e-05,-0.0001881929843934667,-2.0491580684097155e-05,-1.5454347905677324e-06,-1.7483533859630644e-05,-1.3812488634626348e-05,-4.4742775261008804e-05,-1.388662131891747e-05,-1.488622076280438e-05,-2.360500000000011e-05,-1.2421798052995482e-05,-2.480858218589558e-05,-4.013817421550219e-05,-1.6121177426079922e-05,-2.8540635834605224e-05,-1.1629647380327241e-05,-8.589141575138327e-06,-2.9975370357575205e-05,-3.681067990824647e-05,-2.1001066883844543e-05,-3.871832882249136e-05,-1.960618513647423e-05,-2.0555665823532162e-05,-2.7447464334823257e-05,-3.349980436684089e-05,-2.2950270819903482e-05,-2.7151011895336663e-05,-2.27104174545651e-05,-3.109501538848962e-05,-1.9747944275166295e-05,-2.3808452862332107e-05,-2.2517190939849606e-05,-2.354821971952623e-05,-2.4970050734750802e-05,-3.133792797966569e-05,-2.1250000000000428e-06,-2.4546391611515417e-05,-2.1351368787087788e-05,-2.403231932760975e-05,-1.5794399675097242e-05,-1.9540576253037322e-05,-2.1408989814859876e-05,-3.674500000000002e-05,-1.339641722188033e-05,-1.011629163034118e-05,-2.173787461921799e-05,-1.2682892145580029e-05
-inf,-inf,-inf,-inf,-inf,-inf,-0.35380000000000006,-inf,-inf,-inf,-inf,-inf,-0.007400000000000007,-inf,-0.031400000000000025,-inf,-0.13540000000000002,-inf,-0.12819999999999993,-inf,-inf,-0.029000000000000012,-inf,-inf,-0.1801999999999999,-inf,-inf,-inf,-0.5193999999999999,-0.2682,-0.23299999999999993,-inf,-inf,-0.013000000000000005,-0.20659999999999998,-inf,-0.03700000000000002,-0.06660000000000002,-inf,-0.027400000000000008,-inf,-0.2034,-inf,-0.06260000000000003,-inf,-inf,-inf,-inf,-0.0226,-inf,-0.00016948830345617962,-0.0004699125310630841,-0.0002579586892246204,-8.051407749657176e-05,-3.395717889681314e-06,-1.5993189242153686e-06,-2.769447503943201e-06,-0.00020503258054031554,-1.427100716860008e-05,-3.1288300979556986e-06,-4.5928408450943496e-05,-1.9883121960033102e-05,-3.2157084015632624e-05,-3.2123854519981864e-05,-1.891564061173616e-05,-2.2933268271848457e-05,-2.6324999999999894e-05,-2.8084724085072572e-05,-2.785507974649622e-05,-3.768196399038144e-05,-1.1687382386038347e-05,-2.1658463460450778e-05,-1.565600212581115e-05,-1.350500000000039e-05,-3.1900636517758046e-05,-3.066775850680272e-05,-2.3581174288016396e-05,-2.032127513447684e-05,-1.5625000000000068e-05,-2.5239471402061297e-05,-2.632500000000015e-05,-3.806539173558687e-05,-1.2716975149606791e-05,-2.5646606825714377e-05,-2.0591400200308832e-05,-2.782004032402614e-05,-4.50126121835117e-05,-2.574328353603842e-05,-2.3506250259500777e-05,-2.089942237065038e-05,-1.8266035031268513e-05,-1.969280566228035e-05,-1.79485295809298e-05,-8.94093728061039e-06,-1.961958147504646e-05,-2.1392938036300705e-05,-1.5417447209902822e-05,-2.2685000000000316e-05,-1.6739481490942884e-05,-7.824999999999936e-06
-inf,-0.325,-inf,-inf,-inf,-inf,-0.10419999999999995,-0.04420000000000001,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.22099999999999986,-inf,-inf,-inf,-inf,-0.4809999999999998,-inf,-inf,-0.05780000000000002,-inf,-0.4546,-0.009800000000000014,-0.044200000000000024,-0.14180000000000004,-inf,-0.008199999999999995,-inf,-0.02980000000000002,-inf,-inf,-inf,-0.030600000000000002,-0.5745999999999998,-inf,-inf,-inf,-inf,-inf,-inf,-0.08500000000000003,-inf,-inf,-inf,-0.0194,-inf,-0.0005234300877339056,-0.0004179493793117088,-0.00032138615288154103,-6.031140294278235e-05,-1.3177430795832633e-06,-7.687568028499772e-07,-1.0577207655576369e-07,-3.5963699676007577e-06,-3.5660286538648014e-05,-5.9446896373924034e-05,-4.622539954061966e-05,-1.9344999999999748e-05,-2.4517598725166402e-05,-4.219493964648028e-05,-4.329646005405382e-05,-2.3074371728246376e-05,-4.8449397911303106e-05,-3.981786963392145e-05,-2.5163674466030738e-05,-3.0629734793158307e-05,-4.716115895630179e-05,-3.9484999999999775e-05,-3.349898499945214e-05,-2.5700974106316695e-05,-2.1559607447095403e-05,-1.544035737167259e-05,-2.2710361523866573e-05,-2.7813690892858453e-05,-1.558789978966425e-05,-2.4711678174720267e-05,-9.564999999999803e-06,-3.198561719119766e-05,-3.034649526322941e-05,-1.832538151024108e-05,-2.1643819396002776e-05,-2.7924999999999876e-05,-3.0425000000000746e-05,-1.6025000000000125e-05,-2.8489632620802502e-05,-1.8225000000000484e-05,-8.731290242276924e-06,-2.3763578120880106e-05,-2.737054275805793e-05,-2.5329564333590954e-05,-1.4029331522035644e-05,-1.3233821071230862e-05,-1.3255185549588461e-05,-2.1097780021496366e-05,-1.2284579133913988e-05,-2.1369953382977214e-05
