obj,x_1,x_2,con_1,con_2,con_3
-2.3269307027986507e-06,-4.020306908294415,-6.021089227928202,-12.98047541133937,-6.978704586809559,-75.37209556199308
-1.2414316320263125e-06,-4.016204077101914,-6.0081853533781056,-12.975777199174278,-6.991683360564532,-75.04848804224345
-9.294857577576002e-06,-4.030149412284439,-5.931229195326578,-12.8709303707577,-7.068316311142873,-73.25561945171115
-8.420453668672719e-07,-3.991272449512709,-6.021287561629923,-13.038742662604506,-6.978674353301323,-75.28389487214662
-5.61194072186243e-07,-4.001868718965998,-5.977839083442418,-12.974101645510423,-7.022159170502296,-74.27510081417668
-1.8200741352203502e-06,-3.9797643940504295,-6.000384355451591,-13.040855567350732,-6.999410904674336,-74.74455278320742
-3.162291474021416e-06,-4.022426804144799,-6.028882800245517,-12.98402919195592,-6.970865718982408,-75.56672200376465
-1.5454347905677324e-06,-4.018442161498299,-6.005517067028195,-12.968632744031598,-6.994312876311441,-74.99155342419256
-1.5993189242153686e-06,-3.9819560665845906,-5.98829304055722,-13.02438090738804,-7.01154416767623,-74.46163160894939
-1.0577207655576369e-07,-4.001852328874983,-6.009026094385492,-13.005321436635526,-6.990972190053377,-75.02271734463591
-1.0089802289466088e-07,-3.995609808266246,-6.0037031185193985,-13.012483501986907,-6.9962872445888715,-74.87485751184778
-4.566985923541322e-06,-4.008974743014189,-6.061547569265603,-13.043598083237224,-6.938412157728312,-76.31345315578731
-3.002140693357006e-06,-3.9892748481783578,-6.047347767609807,-13.068798071253092,-6.9525947179493945,-75.9065325647777
-4.3849999999998725e-06,-3.97375,-6.0344999999999995,-13.087,-6.965155468750001,-75.54651831249998
-4.231511312055848e-06,-3.969327000597165,-6.006710336160359,-13.06805633496603,-6.992819247393458,-74.86317269356078
-2.807674016521285e-06,-3.9956091291569593,-5.950504670646331,-12.959286412332412,-7.049485689480289,-73.60296474001922
-8.63131249146143e-06,-4.042607411065324,-5.977491882985088,-12.89227706085444,-7.021600421276068,-74.39752521600981
-1.4219633568419363e-06,-3.9974206977146776,-5.964600059039013,-12.969758663609657,-7.035396614560848,-73.94465529182341
-3.849571458853004e-06,-4.02589197387936,-5.9720172005065635,-12.920233252747844,-7.027647602337751,-74.21296728156874
-1.259531967448965e-06,-3.994986934391633,-6.0321411801825775,-13.04216731139931,-6.967846254404026,-75.5574176515275
-1.4171346380376909e-06,-3.998485126648573,-5.964415708393303,-12.967445455096158,-7.035583144186061,-73.94366234930126
-7.991073221644492e-06,-4.0412868526209405,-6.019327418402538,-12.936753713160657,-6.97982027949779,-75.397063989092
