0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-0.19452766889985912,-inf,-0.12020228698593254,-inf,-inf,-inf,-inf,-inf,-inf,-0.46791637743790104,-inf,-0.2346880012455666,-inf,-inf,-0.02799437399569942,-inf,-0.07520964471324497,-inf,-0.1454317539721547,-inf,-0.020417366478007272,-inf,-0.20853691086475756,-inf,-0.011211426161506322,-0.04817732019472219,-inf,-inf,-inf,-0.0074856334211729665,-inf,-inf,-0.04610188466204321,-inf,-inf,-inf,-inf,-inf,-0.04606348462013676,-0.04364649844627058,-0.019782790777780224,-inf,-0.02895393188117628,-inf,-inf,-inf,-inf,-0.02587527018695556,-inf,-inf,-5.455644286023793e-07,-0.0002891836870947466,-5.548665596771224e-05,-4.755083621427562e-05,-2.566716174384919e-05,-4.828546544834982e-06,-1.1439324081079754e-05,-9.293249482980157e-06,-1.0991347639091371e-05,-9.427931971229829e-06,-9.809713636253244e-06,-2.4028899134434805e-05,-6.954607363965928e-06,-1.073808860883095e-05,-8.357617917492639e-06,-1.0378575605940642e-05,-2.1387929431936843e-05,-7.63618670625268e-06,-1.1212459341052882e-05,-7.346717270097529e-06,-9.245892886828273e-06,-1.9001632975406867e-05,-7.618499760910122e-06,-8.490251276318683e-06,-7.342447358492498e-06,-1.6563464789273757e-05,-7.604804471489151e-06,-6.423925767315395e-06,-6.895552388269894e-06,-6.588109374614673e-06,-1.530641203884225e-05,-6.665966345226418e-06,-5.753187707186636e-06,-7.394990310145922e-06,-7.476294628533567e-06,-1.4386826962715456e-05,-7.027037932816765e-06,-7.4428207613186465e-06,-6.6405069112583344e-06,-5.3152193614717615e-06,-1.2760917150777275e-05,-5.2452331336238525e-06,-5.887742898622279e-06,-3.977792403426096e-06,-6.630059584961322e-06,-1.1758358393259389e-05,-5.085666761396531e-06,-6.284768880284339e-06,-3.6233051489568433e-06,-1.0657809453131054e-05
-0.17696242843150126,-inf,-inf,-0.04776047708900904,-0.057043881662879534,-0.14876249286910728,-inf,-inf,-0.06721988352625775,-inf,-0.607169742905914,-inf,-inf,-inf,-inf,-0.10566168949290984,-inf,-inf,-0.36790739061412553,-inf,-inf,-inf,-inf,-inf,-0.04148466092556019,-inf,-0.036670999362100616,-inf,-inf,-0.19564333270886514,-0.10161356061875422,-0.09970835845981826,-inf,-inf,-inf,-inf,-inf,-0.018134889320417583,-inf,-0.3045434152294561,-inf,-inf,-inf,-inf,-0.17288955917369295,-inf,-0.07999199846713533,-0.004031808776488014,-inf,-inf,-0.0006006394754615455,-6.593597979748995e-05,-4.799492224522265e-05,-5.7189488408414804e-05,-1.367714610585897e-06,-7.541731528921651e-06,-5.811891464484158e-06,-1.79036097602957e-05,-7.965581409850136e-06,-1.5252279354831674e-05,-7.297160208218753e-06,-1.2633427735251977e-05,-6.830924743086916e-06,-2.1384163560586892e-05,-1.3499548575710374e-05,-7.431563402532795e-06,-1.2400209781013598e-05,-1.7019850350883892e-05,-7.334035780388041e-06,-1.225540765650285e-05,-6.120810502439159e-06,-1.873207688879645e-05,-1.0507860399141895e-05,-7.333792123217614e-06,-1.1688028956044675e-05,-1.4659122771847759e-05,-7.674793449526894e-06,-1.0988745337181406e-05,-6.00376479526156e-06,-1.568070674147279e-05,-4.7109386743971005e-06,-1.139034272173871e-05,-1.433830455278912e-05,-6.8586433438681944e-06,-9.981722528008162e-06,-5.633517584812183e-06,-9.82626776860228e-06,-9.134652857582896e-06,-6.461266124250403e-06,-1.2480624106115621e-05,-8.943704757639561e-06,-6.519971654839207e-06,-8.646040258419189e-06,-4.9428206238745085e-06,-1.319517031183996e-05,-4.461662144100384e-06,-8.162205117042828e-06,-1.131541092108993e-05,-5.285201815661272e-06,-4.175454860017354e-06
-inf,-0.04071100722873018,-0.0013350487272122073,-inf,-0.011169614192467323,-inf,-inf,-inf,-inf,-inf,-inf,-0.042190533591403644,-inf,-inf,-0.034772517894598585,-0.014249536650813386,-inf,-0.01862510005867416,-inf,-inf,-inf,-inf,-0.04420513215356062,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.061649993537226305,-inf,-inf,-0.011370285022326313,-0.027221386553016973,-inf,-inf,-inf,-inf,-0.07641024898498326,-0.02262667386352673,-0.06540347904274893,-inf,-inf,-0.24232950396435413,-0.04799127231014847,-0.19012763841308833,-inf,-8.457609633193491e-05,-2.917193533101834e-05,-1.3710212716330323e-06,-6.878038966370382e-07,-4.6471311903758557e-07,-1.8785607303661844e-06,-1.0505775627214977e-05,-9.704398540752186e-06,-9.864730244147072e-06,-9.126729695710924e-06,-9.160792459841617e-06,-8.045079977571383e-06,-8.072428376302167e-06,-6.8505313099812155e-06,-1.1751998656149161e-05,-8.92076330663224e-06,-8.344352982697337e-06,-8.380566689286428e-06,-1.2673227725972762e-05,-8.472637054543262e-06,-1.334682938279645e-05,-8.75890310409566e-06,-7.371263223454607e-06,-9.666748088857166e-06,-7.9224605913381e-06,-1.0264935333715482e-05,-1.200332871418134e-05,-7.2307598830567255e-06,-9.60854387342689e-06,-7.911290607642249e-06,-7.1771041191138705e-06,-8.00437089141235e-06,-8.913348450630465e-06,-7.482293218003635e-06,-7.221848232389178e-06,-6.998106945603626e-06,-7.3442708466531035e-06,-5.9843388845991755e-06,-7.771766059737218e-06,-7.757665407048433e-06,-6.807866944171695e-06,-6.279611969927488e-06,-8.784622370145137e-06,-6.752844382284598e-06,-5.718768187201283e-06,-7.436298878362485e-06,-5.9816425059378645e-06,-7.274462000176413e-06,-5.186453053698627e-06,-8.5395270709461e-06
-0.18932465252879113,-0.05635005510503452,-inf,-inf,-inf,-inf,-inf,-0.16091794942342938,-inf,-0.03305815925468672,-inf,-0.0221233475626554,-0.25162561142518697,-0.014858359949409608,-inf,-inf,-inf,-0.043658033619247756,-inf,-0.007094094683238541,-0.02858331694009037,-0.017166692550249052,-inf,-0.03496279510975703,-0.03879747512850788,-inf,-inf,-0.010852422605395078,-0.29425324510024586,-0.23619648360497225,-0.13622018790242557,-0.07803467866581656,-0.02657166312012367,-inf,-inf,-0.2077931675314247,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.44473520603779226,-0.058947756430869344,-0.034098448426538114,-6.828139537751948e-07,-0.00013701862694476356,-4.705697832686938e-05,-3.019165439990591e-07,-5.851094302716218e-08,-4.089004502910688e-06,-9.385351756643604e-06,-1.2161649038256344e-05,-8.688705289793226e-06,-1.5363821748450422e-05,-1.3681908514465275e-05,-1.2033124338364242e-05,-1.3024772221964897e-05,-1.611699217506744e-05,-1.17651556220546e-05,-1.2427710297371335e-05,-1.0812593727579173e-05,-1.5025116585311523e-05,-1.1401129533217033e-05,-1.0423695655020058e-05,-1.0647732433558983e-05,-1.5724046471804968e-05,-1.0026147431001056e-05,-1.090036309970661e-05,-8.52344337912461e-06,-1.2856134747020769e-05,-1.021335068678164e-05,-9.02649677238665e-06,-9.758497297015264e-06,-1.1440108460511575e-05,-7.835044299805446e-06,-8.662387993137807e-06,-8.972243041348367e-06,-1.0859913188187454e-05,-8.880420313135838e-06,-7.755540685548311e-06,-7.767244991310515e-06,-7.702575625681725e-06,-1.011891591886462e-05,-6.823515310956614e-06,-8.218297086157253e-06,-8.875640633054432e-06,-7.463178629985522e-06,-7.822076349613617e-06,-6.458748006901739e-06,-8.813426112073435e-06,-8.516669512248463e-06,-5.9072959871805266e-06,-7.178955618007962e-06,-7.89084267194156e-06
-inf,-inf,-inf,-inf,-0.03978294297829175,-inf,-0.6813992217743128,-inf,-inf,-inf,-inf,-0.4699158844574116,-inf,-inf,-inf,-inf,-inf,-inf,-0.1294570520764961,-0.12236585064756564,-0.1049312585981946,-inf,-0.0416161832004168,-inf,-0.12952478808841467,-inf,-inf,-0.023382771760209954,-inf,-inf,-inf,-0.07879645931031774,-0.5131571025100525,-inf,-0.04188941227055469,-0.46422856149893515,-0.10531468890370956,-inf,-inf,-inf,-inf,-inf,-0.32507805576414694,-0.26794522474997673,-inf,-inf,-inf,-0.014786842323963741,-0.013882200946325439,-0.06663533139127237,-5.707954577930052e-05,-0.00043170555546674736,-0.000187996489517558,-1.9368719777558605e-05,-1.1124231218467792e-05,-1.7680681908092543e-05,-1.0350725507910179e-05,-3.767704187111443e-06,-2.6790940066939832e-05,-7.5195848315032575e-06,-4.044809210583134e-06,-1.5089212167660423e-05,-6.715187797903515e-06,-7.62277180333544e-06,-7.219247489001909e-06,-2.3218835620199473e-05,-6.834473863475866e-06,-5.623777873055448e-06,-7.422703868274697e-06,-5.961734324863072e-06,-7.3469425400792286e-06,-2.4482494020631102e-05,-4.882530733530249e-06,-7.414181638206125e-06,-6.236262422938336e-06,-6.141776588621347e-06,-2.126957617088857e-05,-6.97489776510748e-06,-7.019893082124023e-06,-6.183649075849153e-06,-6.527223686911269e-06,-1.7958623924231788e-05,-4.5474750262137e-06,-7.043276131949969e-06,-5.011922710543453e-06,-7.101085891357671e-06,-1.701018562769964e-05,-6.681639758551813e-06,-5.5789689490100435e-06,-6.330228964927972e-06,-4.195081693943633e-06,-1.1889579591942976e-05,-4.786143571401669e-06,-6.134371392152296e-06,-4.806639680242489e-06,-5.174415920380328e-06,-1.392236386125323e-05,-5.4928114592617394e-06,-4.5803651569350545e-06,-4.91050834927883e-06
-inf,-inf,-0.10500077436157848,-inf,-0.023256658968258313,-inf,-0.02178254548387393,-inf,-0.000218002695610619,-0.1306531072611266,-0.0411400163891644,-0.015451400766754093,-0.029531746865277986,-inf,-inf,-inf,-0.3198404306929674,-inf,-inf,-inf,-inf,-0.6091714168239263,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.31743660160212844,-inf,-inf,-inf,-0.26757836564599125,-inf,-0.0042952920126278216,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.034658656279547534,-inf,-0.0422035077803181,-0.0007804290762158576,-7.589481525286918e-05,-2.2925365208824453e-06,-2.558213982751068e-06,-1.6422433328779668e-05,-7.371032469878885e-06,-2.0849714169806206e-05,-6.652486354401425e-06,-3.0973800902398875e-06,-1.9088501720147718e-05,-4.763471162581022e-06,-1.7163878233421858e-06,-1.613701113970074e-05,-5.0224807997370806e-06,-1.5456440434208245e-05,-5.192243079402436e-06,-2.8128855184850864e-06,-1.3367652986825997e-05,-4.9448260642963186e-06,-6.517643030964096e-06,-5.244100987053625e-06,-1.3485386851791409e-05,-5.999325966012548e-06,-7.586876668146674e-06,-1.5275238266450395e-05,-7.515313157159677e-06,-6.454554362162126e-06,-4.7470502019077634e-06,-1.3972136970357398e-05,-7.625398854426033e-06,-4.13823054029185e-06,-1.3398794862911435e-05,-6.000921567328371e-06,-9.42431617586365e-06,-5.557314007830113e-06,-6.822310401324142e-06,-1.2147357540349177e-05,-5.8133708940938764e-06,-7.644737986026891e-06,-1.1942045053054764e-05,-6.444920601069094e-06,-1.883890759970404e-06,-6.047335704954405e-06,-1.0831198808837442e-05,-6.055221599762213e-06,-8.100649787609038e-06,-4.473719397200324e-06,-1.2464971203970168e-05,-7.641297311696108e-06,-5.555372231606845e-06
-inf,-inf,-inf,-0.030967752606946744,-0.10819093007958538,-0.1914479790205896,-0.09169471347775282,-inf,-inf,-inf,-inf,-0.352191920043583,-inf,-inf,-0.006907713253054061,-0.5825879303030187,-inf,-0.21376947317830153,-inf,-0.03192359253130435,-0.29990552326892383,-inf,-0.007997862300125233,-inf,-inf,-inf,-0.07361938255687325,-inf,-0.04544327214495517,-inf,-0.69320521650611,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.014460894079443879,-0.3640062311942685,-0.12405327722751668,-inf,-0.07445105343308112,-inf,-inf,-0.026123370650300126,-8.278684322211972e-05,-0.00018874760044896614,-0.00011128253527450472,-5.65617973777467e-07,-9.689749281938943e-08,-6.496972977412377e-08,-2.1994683274270274e-07,-9.3098106204202e-06,-4.72557878032365e-06,-1.606026802529136e-05,-4.525929880104382e-06,-3.1270213950852e-06,-1.531135586481183e-05,-5.01648661996764e-06,-9.666033511178213e-06,-6.503852306368112e-06,-1.9680177917089764e-05,-1.2451554166759949e-05,-5.7854081437665344e-06,-1.3232720739186474e-05,-7.669251775955537e-06,-2.1749676333154898e-05,-6.706595348100723e-06,-1.2876195298794096e-05,-5.686206882617651e-06,-1.4661487879173251e-05,-9.724022976328702e-06,-6.214466062038686e-06,-6.431498827335679e-06,-1.1328015408178249e-05,-1.616707499182803e-05,-5.804964227786027e-06,-8.37194055053026e-06,-7.96856403689811e-06,-1.2341731469347728e-05,-6.004295535480903e-06,-9.58256586548315e-06,-7.290341670792477e-06,-1.0734165757388537e-05,-8.67753641262831e-06,-5.716919633458377e-06,-1.1355064439268926e-05,-8.532673093353908e-06,-4.222315515681846e-06,-1.1393377616822993e-05,-6.710907471393185e-06,-8.311505646361842e-06,-4.209017116790202e-06,-8.999248959686911e-06,-5.817645962122817e-06
-inf,-0.1807980258952708,-inf,-inf,-0.057261316092915834,-0.33172240722906565,-inf,-inf,-0.05796672601760104,-inf,-inf,-0.09054435283050229,-inf,-0.21809970624487363,-inf,-0.07447550199830474,-0.03223377512303695,-inf,-inf,-0.030373153556301137,-0.0055990827782416205,-0.07120375831689756,-0.17932469975405488,-inf,-inf,-0.016491103873731143,-inf,-inf,-inf,-0.17240494028887268,-inf,-inf,-0.041302075139625076,-inf,-inf,-inf,-0.03489736981757105,-inf,-0.07112960627779168,-0.005711579311206054,-0.06819201052398234,-0.22784596462678916,-inf,-0.23236428151443142,-inf,-0.5688467911561003,-inf,-0.04612983434055911,-0.3315103373395358,-inf,-4.183747893786379e-05,-0.00027354867984934054,-1.7001521213553647e-08,-5.084131054045123e-07,-4.4421659893830925e-07,-4.0053272631425727e-05,-6.80860521012936e-06,-4.277984710851355e-06,-3.3133137421053342e-06,-1.9051637924479548e-06,-1.2937575617985009e-05,-4.8336166549176495e-06,-3.817954096063558e-06,-1.3298978795955294e-05,-4.99713921703559e-06,-3.6525164195760812e-06,-1.0089389335769063e-05,-4.55203388493935e-06,-3.5223087941291074e-06,-1.3591525196079186e-05,-4.549884140226101e-06,-3.3262590486591216e-06,-6.032209908838859e-06,-8.63034482071006e-06,-5.784895049951446e-06,-8.931804192493312e-06,-1.1882384031016374e-05,-6.265575011095501e-06,-8.489850186305073e-06,-5.864009568686358e-06,-8.19088097993337e-06,-1.1965299187869947e-05,-6.323718758518622e-06,-8.088769520120371e-06,-6.428817676433377e-06,-8.435947240003384e-06,-6.031940606324028e-06,-1.012337640742418e-05,-5.631758612444155e-06,-1.1736642288057083e-05,-9.029400492440737e-06,-7.410450230572477e-06,-6.1976309451031115e-06,-6.73841285024188e-06,-8.30704399773701e-06,-6.211947451927419e-06,-1.2498084261305029e-05,-7.82229532046369e-06,-5.868033614318216e-06,-6.111521796879933e-06
-0.671082017272867,-inf,-inf,-0.011404149789639082,-inf,-inf,-0.30029840583915557,-0.06415935793022158,-inf,-0.01097914477200805,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.0019459629557311692,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.5188193593300665,-inf,-0.1693496427453216,-inf,-inf,-0.018502744720958777,-inf,-0.21681274276597173,-0.019660148719842216,-inf,-inf,-inf,-inf,-0.041202230577835966,-0.10342640344459922,-inf,-inf,-inf,-0.2410797335770411,-inf,-inf,-inf,-0.0001332248315829431,-0.00023750110756930724,-3.177260800935759e-05,-3.490960259370405e-06,-1.3223065875275672e-06,-6.298025001820994e-07,-2.0401169737585194e-07,-1.0662724498836678e-07,-9.66966036568143e-08,-2.8937003994464115e-07,-5.2502164759847954e-08,-3.843409456950637e-07,-6.964487238586764e-06,-2.237501640277661e-06,-9.941602032539186e-06,-3.839482044394265e-06,-5.799015742770406e-06,-6.5299524910081475e-06,-1.7190918254714958e-05,-6.3294156164256356e-06,-7.843225015418093e-06,-1.432059474437459e-05,-7.378745709397732e-06,-8.812291078289816e-06,-1.3577059529472428e-05,-7.834743828146663e-06,-6.9135377981179155e-06,-7.4311857244551485e-06,-7.769280080278583e-06,-1.4178065530019191e-05,-6.912430677296035e-06,-7.864741197283936e-06,-1.3327401719121025e-05,-7.184838754772513e-06,-8.337656770113868e-06,-7.801313207704942e-06,-1.1853770188723856e-05,-7.4689062970950355e-06,-8.24598844756238e-06,-1.3686357152368597e-05,-5.58156616048934e-06,-6.343369261048818e-06,-6.337209700864872e-06,-9.429318320788188e-06,-7.769557296080448e-06,-5.8826256515795545e-06,-1.007840056610417e-05,-4.588976837847326e-06,-4.4942449417907e-06,-6.2913773118918215e-06
-inf,-0.03678514912365498,-inf,-0.0030360414658452467,-inf,-inf,-inf,-0.16386314857882972,-inf,-0.18380384173814893,-0.15576473745820466,-inf,-inf,-inf,-inf,-0.3768028888633786,-inf,-inf,-inf,-0.02956300519070456,-inf,-0.024455230815298327,-inf,-0.24559217800305885,-inf,-0.17534716669663855,-inf,-inf,-inf,-0.07105767093230897,-0.16533422097454,-inf,-inf,-0.010692345664076945,-0.0240395953941411,-0.022706465117145046,-0.04144978481806184,-inf,-0.08085157943908283,-0.02581156895444308,-inf,-inf,-inf,-inf,-inf,-0.019595832533033066,-inf,-inf,-inf,-0.36292696097050803,-0.0001713624042334981,-6.989832123434331e-05,-6.628929482330181e-05,-1.720992423471804e-05,-1.0426672303262277e-06,-5.116242726136529e-06,-9.309825868851407e-06,-1.308448228361625e-05,-9.595762043285504e-06,-1.0178756016930194e-05,-8.432824996129939e-06,-9.701108984503575e-06,-7.991798182665042e-06,-7.529934890025083e-06,-8.166775762750875e-06,-7.67218340478132e-06,-8.094653100496031e-06,-7.840761188074746e-06,-9.682215889488732e-06,-1.1182194724855244e-05,-8.684851172867044e-06,-8.687792419129585e-06,-1.0477483301757127e-05,-8.057364214076803e-06,-8.719769531955547e-06,-9.64719247403822e-06,-8.177815349179776e-06,-8.797169606644749e-06,-9.781654136749921e-06,-8.600123547896911e-06,-7.705205188245575e-06,-9.114442191302864e-06,-1.0686427905519743e-05,-8.472787584988986e-06,-8.26229427279453e-06,-7.832718948512275e-06,-7.3293014612350995e-06,-9.835726203643364e-06,-6.142747887433793e-06,-7.5097423296882295e-06,-7.375383599253336e-06,-5.765779195041331e-06,-6.020822774384627e-06,-6.77046573978708e-06,-7.173039247331e-06,-6.188834615275675e-06,-6.2827276630699625e-06,-8.28282934115341e-06,-6.069098295792339e-06,-5.520953723370972e-06
