obj,x_1,x_2,con_1,con_2,con_3
-5.455644286023793e-07,-4.010835022295992,-6.004627867016621,-12.982957822424638,-6.995313434129301,-74.94580719359396
-1.367714610585897e-06,-3.982615065874239,-6.00469035300368,-13.0394602212552,-6.995158529029042,-74.85704112889539
-4.6471311903758557e-07,-3.9907903318434697,-5.991113501425182,-13.009532837738242,-7.008844089581042,-74.55742799941481
-5.851094302716218e-08,-4.003549014614085,-5.9984907519088955,-12.991392722680725,-7.001502950338739,-74.77514196733911
-3.767704187111443e-06,-3.971920826102246,-6.015400446138962,-13.07155879393447,-6.984205333857648,-75.08038938634618
-1.7163878233421858e-06,-4.007710680185506,-5.96384850369189,-12.948427143320878,-7.03612176901365,-73.95966401748738
-6.496972977412377e-08,-4.003031133312753,-5.995339347668193,-12.989277081042687,-7.004656058447227,-74.6978892515516
-1.7001521213553647e-08,-4.000288730478184,-5.996131161939799,-12.99555370098343,-7.0038687963775565,-74.70810177657428
-5.2502164759847954e-08,-4.001636349114533,-5.993955052143706,-12.99068235391464,-7.006043609037082,-74.66023118693231
-1.0426672303262277e-06,-3.987415051316256,-6.017460720884426,-13.042630618251913,-6.982460088648888,-75.17942689517253
-1.854606196083293e-07,-3.9977516375650937,-5.987888269195005,-12.992384994064818,-7.012109203238176,-74.50241809996132
-9.835850735864546e-07,-4.01236932436154,-5.98347045597774,-12.95873180725466,-7.01645304392968,-74.44344983311088
-3.570110912125976e-07,-3.9911864511764072,-6.003255059235705,-13.020882156882891,-6.996706101442863,-74.84995479197124
-5.264011589597861e-06,-3.965946116129077,-5.990053020364915,-13.058160788106761,-7.009367146131738,-74.45272987858006
-3.3134444584383993e-07,-3.9916931736628514,-6.004711321054358,-13.021324973728655,-6.995254177263744,-74.88654805479062
-2.627016268119414e-07,-3.992467770752981,-6.003081161211651,-13.018145619705688,-6.9968904715496345,-74.84987506949348
-5.705095397218915e-07,-3.9917174750220017,-5.984538508943021,-13.001103558899018,-7.015427190946974,-74.40291197015831
-2.6091479356270426e-07,-4.000439584984454,-6.015298704990038,-13.01441953502113,-6.984701198392483,-75.16904373110691
-1.8326996770087319e-06,-4.01788806484033,-6.019222337380779,-12.98344620770012,-6.980617671187354,-75.31938089770927
-2.384390451660182e-06,-3.9786115313085633,-5.982221219540252,-13.024998156923125,-7.017550047163266,-74.3055898325413
-2.1399758607568003e-07,-3.9938720560800154,-5.993489159752981,-13.00574504759295,-7.0064920643986754,-74.62422270594837
-2.2852471457236516e-06,-3.99210613675146,-6.042514351967363,-13.058302078464443,-6.957454491494143,-75.7987114876832
-5.126960136533393e-06,-3.988371350692141,-5.936177102980361,-12.959434401596079,-7.063755284277277,-73.23921256320843
-5.051327124369403e-06,-4.03309262880102,-5.987127312320885,-12.920942054718845,-7.012325126638634,-74.59750234445686
-1.905641495500122e-06,-4.020521065119287,-5.994466385319706,-12.953424255081131,-7.005323057623478,-74.73300612066025
-1.2507355839436552e-06,-3.984496026022682,-6.0128128525002,-13.043820800454835,-6.987066960895255,-75.05827215629758
-1.604371755280775e-06,-3.9827486575169115,-6.015921661655663,-13.05042434662184,-6.983929533935602,-75.12748210417328
-2.0922637681364677e-06,-4.021694893167394,-5.999396814171128,-12.956007027836339,-7.000367851634099,-74.85504205958692
-5.976640153864802e-08,-3.998292490448441,-6.006490562834619,-13.009905581937737,-6.993507979370946,-74.95039431539547
-4.28355333664001e-06,-3.9691501379873078,-5.9930471546711015,-13.054746878696486,-7.006476988335797,-74.5346991805794
-5.324893537611471e-06,-4.034068547445241,-6.012236849420327,-12.944099754529844,-6.9871828176171595,-75.2032353520651
-2.012465198968607e-08,-4.0018088082234495,-5.997758340339429,-12.99414072389253,-7.002240023766976,-74.75199905889484
-2.4596308999552264e-07,-3.994921963230046,-5.989127054159613,-12.99928312769952,-7.010860052611669,-74.52304118136084
-2.4189624306725725e-06,-4.00690718931169,-6.04456713061052,-13.03075275198714,-6.955409014757386,-75.89569614056445
-5.917363195119593e-07,-3.9915410198492403,-6.015695391259762,-13.032613351561281,-6.984268831567642,-75.1501276552345
-3.64886464102304e-08,-3.999241364718395,-6.0055260901012595,-13.007043360664468,-6.994473622134995,-74.9302597199782
-1.4342570268376363e-06,-4.005530232246292,-6.034183291962041,-13.023122827469457,-6.965801416303611,-75.64043886186958
-6.438579263881238e-06,-3.9630743568404876,-5.981541699793353,-13.055392986112377,-7.0177765486452754,-74.23979285524761
-8.82504276474861e-07,-4.013931060925192,-6.004237453813508,-12.976375331963123,-6.995665508957241,-74.94635301340615
-1.3150538979456279e-06,-4.016017333866679,-5.987456931341798,-12.95542226360844,-7.012414791166103,-74.55058778871609
-1.349968889908297e-06,-3.986879619047554,-6.022943286939068,-13.049184048843959,-6.976970640862763,-75.3097408852002
-3.9040984338258736e-08,-4.002543410220937,-6.003043212726142,-12.997956392284268,-6.996953552806081,-74.88119583420892
-4.559367744128071e-07,-4.00982315997275,-6.004936112799623,-12.985289792854124,-6.995015639964452,-74.94996884841726
