,Mean_ASBO,Lower_ASBO,Upper_ASBO,Mean_CBO,Lower_CBO,Upper_CBO
iter_1,,,,,,
iter_2,1.2812018809168886,1.254300782139611,1.306533419316421,,,
iter_3,1.2791313018078097,1.1888681139180217,1.3538241337468653,,,
iter_4,1.2737257178050492,1.20379861381056,1.3339395550956412,,,
iter_5,1.280077127345811,1.2150091266585026,1.336654629460598,,,
iter_6,1.2756921875718885,1.2159822876403037,1.328176213119961,,,
iter_7,1.2905371098286769,1.2436542028528033,1.3328484259649007,,,
iter_8,1.2885023362161931,1.2512446062769318,1.3228147704934996,,,
iter_9,1.2785406907294525,1.238231966184098,1.3154238798337554,,,
iter_10,1.2730943417118006,1.2363570397141266,1.3069649293193992,,,
iter_11,1.2709256780722595,1.2371483957344944,1.302264445532635,,,
iter_12,1.2692130850389753,1.2367140554563902,1.2994485578770032,,,
iter_13,1.261352236413772,1.2281387664341075,1.2922051077854684,,,
iter_14,1.2569713736303445,1.2233637244615705,1.2881640739336888,1.2137107798458175,1.144326642820696,1.2735218023788808
iter_15,1.2584292046199383,1.2256367116759632,1.2889185090887034,1.2137107798458175,1.144326642820696,1.2735218023788808
iter_16,1.2413955048600946,1.2054663350786468,1.2745780382820966,1.2128042010199964,1.1453454646003396,1.2711797124421116
iter_17,1.2387291976133292,1.2025738915952158,1.2721045052769684,1.2128042010199964,1.1453454646003396,1.2711797124421116
iter_18,1.234347685779136,1.1985152520551854,1.267447697853947,1.216154770840277,1.1781505618883708,1.2510992649380959
iter_19,1.230150236496724,1.1946820138918257,1.2629392500225345,1.216154770840277,1.1781505618883708,1.2510992649380959
iter_20,1.2216290083369048,1.1849831115957274,1.2554218911462294,1.1757148267512656,1.0777027779576966,1.2556292127989745
iter_21,1.217769809482867,1.18185151789611,1.2509430648870525,1.1757148267512656,1.0777027779576966,1.2556292127989745
iter_22,1.214822779513718,1.177722081553778,1.2490019957428757,1.1455853301569197,1.0178847538424936,1.2441440556032721
iter_23,1.2105203854978868,1.1728468994387067,1.2451850969255347,1.1455853301569197,1.0178847538424936,1.2441440556032721
iter_24,1.2044380959660796,1.1665778995059217,1.2392608077112546,1.1455853301569197,1.0178847538424936,1.2441440556032721
iter_25,1.194372624238411,1.1552648845022309,1.230247837504857,1.1452889273817641,1.0179917568496881,1.243607877541999
iter_26,1.1896176289229532,1.1497676654826225,1.2261163889071172,1.1229384798514326,1.0353288357514636,1.1958069559762077
iter_27,1.1812720547716171,1.1408582518593158,1.218243191657318,1.1077604013223075,1.0395363255957206,1.166707853645983
iter_28,1.1729743277810316,1.1306294281563427,1.211554808993765,1.101223216302516,1.038989774655039,1.1556462763003024
iter_29,1.163587809327217,1.121732404625308,1.2017615935915722,1.1000820209667728,1.0374786621418723,1.1547876481724333
