0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
-0.09121137857437134,-inf,-inf,-inf,-inf,-inf,-0.2734035551548004,-0.023625686764717102,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.022664500400424004,-inf,-inf,-inf,-inf,-inf,-inf,-0.270036906003952,-0.019140103831887245,-inf,-inf,-0.5874806642532349,-0.044114843010902405,-inf,-inf,-0.1520540714263916,-inf,-inf,-0.03897895663976669,-inf,-inf,-inf,-inf,-0.5578150749206543,-0.008563963696360588,-0.061832625418901443,-inf,-0.38470858335494995,-0.05622250959277153,-inf,-inf,-0.1322205513715744,-0.004141104407608509,-0.13520415127277374,-0.019363613799214363,-0.00012480816803872585,-2.2499463739222847e-05,-6.252712046261877e-05,-0.00017044447304215282,-9.597885218681768e-05,-9.3817689048592e-05,-4.501311559579335e-05,-1.0324962204322219e-05,-4.309659561840817e-05,-5.151988079887815e-05,-0.00015054436516948044,-3.213513264199719e-05,-6.749060048605315e-06,-1.1969135812250897e-05,-0.00018312745669391006,-4.562031972454861e-05,-6.788842438254505e-05,-7.93045837781392e-05,-0.00012554365093819797,-2.1784195268992335e-05,-2.0812161892536096e-05,-7.750243094051257e-05,-3.467917849775404e-05,-2.3272230464499444e-05,-7.14847628842108e-05,-0.00013496095198206604,-7.917422044556588e-05,-4.436351082404144e-05,-3.274630580563098e-05,-3.749442839762196e-05,-4.716104012914002e-05,-2.160384156013606e-06,-0.00013644780847243965,-5.1847509894287214e-05,-3.11496332869865e-05,-7.63162606745027e-05,-5.831662747368682e-06,-2.522078648325987e-05,-6.008553827996366e-05,-4.29087003794848e-06,-4.044990782858804e-05,-4.375238859211095e-06,-5.141473593539558e-06,-2.1149093299754895e-05,-1.5267623894033022e-05,-inf,-inf,-inf,-inf,-inf
-0.021310174837708473,-0.6752375960350037,-inf,-0.08019237220287323,-inf,-0.22242200374603271,-inf,-0.2151649445295334,-0.01788615994155407,-inf,-0.0391937680542469,-inf,-0.0927029401063919,-0.3571664094924927,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.39615339040756226,-inf,-0.09561562538146973,-0.014608265832066536,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.02910425513982773,-inf,-0.08124997466802597,-inf,-inf,-0.2339344620704651,-inf,-0.17701245844364166,-0.0016937769250944257,-inf,-0.03834658861160278,-inf,-inf,-0.24062328040599823,-inf,-inf,-0.04248180612921715,-0.4707425534725189,-0.00011381873628124595,-4.918457489111461e-05,-6.582739297300577e-05,-0.0002514490333851427,-0.00012485228944569826,-2.7130932721775025e-05,-0.00010005557851400226,-1.0425686014059465e-05,-1.6717925973352976e-05,-0.0001636166707612574,-0.0001075778272934258,-7.15346277502249e-06,-5.8936249843100086e-05,-8.321455425175373e-06,-7.102587551344186e-05,-6.422751903301105e-05,-7.419343455694616e-05,-1.9227263692300767e-05,-7.711573744018096e-06,-4.51292798970826e-05,-4.239364557179215e-07,-5.847309239470633e-06,-7.374099368462339e-06,-4.0465460187988356e-05,-8.492783672409132e-05,-7.496454054489732e-05,-2.7462985599413514e-05,-0.00015763696865178645,-0.00013685224985238165,-4.359606828074902e-05,-0.00010159760859096423,-2.6703339244704694e-05,-0.0001767325447872281,-1.1574421478144359e-05,-5.143017915543169e-05,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-0.5899518728256226,-0.04815569147467613,-0.08986479789018631,-inf,-0.2287023663520813,-inf,-inf,-inf,-inf,-0.03300231695175171,-inf,-inf,-0.346688449382782,-inf,-0.12044738978147507,-inf,-inf,-0.004742077086120844,-inf,-inf,-inf,-inf,-0.09161991626024246,-inf,-inf,-0.021054962649941444,-inf,-0.03783684968948364,-inf,-0.03898068517446518,-inf,-inf,-inf,-0.03059425577521324,-inf,-inf,-0.27643632888793945,-inf,-inf,-inf,-inf,-inf,-inf,-0.036585111171007156,-0.16901353001594543,-inf,-inf,-inf,-0.5092188119888306,-0.003363101277500391,-5.891371984034777e-05,-9.40546397032449e-06,-7.624932914040983e-05,-0.00016268341278191656,-0.0001038677291944623,-7.945099787320942e-05,-5.250155663816258e-05,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-0.22805580496788025,-inf,-inf,-0.022365354001522064,-0.4778810441493988,-inf,-inf,-0.03713814541697502,-0.4412439465522766,-inf,-0.12619629502296448,-inf,-inf,-0.024159014225006104,-inf,-inf,-0.26989445090293884,-inf,-0.058530598878860474,-0.02253720909357071,-inf,-inf,-inf,-inf,-0.16278162598609924,-inf,-inf,-0.02456015534698963,-inf,-0.042997635900974274,-inf,-inf,-inf,-inf,-0.19804887473583221,-0.04083370789885521,-0.22860382497310638,-0.0711948499083519,-inf,-inf,-0.21977393329143524,-inf,-inf,-0.0010674329241737723,-inf,-inf,-inf,-inf,-0.08656244724988937,-0.000149732077261433,-3.747651498997584e-05,-8.099147817119956e-05,-0.00010872130224015564,-6.068136644898914e-05,-5.532407158170827e-05,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-0.016420109197497368,-0.11981477588415146,-inf,-inf,-inf,-inf,-inf,-inf,-0.024418359622359276,-0.29062581062316895,-0.030468789860606194,-inf,-inf,-0.31922852993011475,-inf,-inf,-0.00012505066115409136,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.20870032906532288,-0.034332700073719025,-0.07728060334920883,-0.07637811452150345,-inf,-inf,-inf,-0.02302827127277851,-0.31276941299438477,-inf,-inf,-inf,-inf,-inf,-inf,-0.017832359299063683,-inf,-inf,-0.17199240624904633,-0.02996852435171604,-0.5568284392356873,-inf,-inf,-7.045621168799698e-05,-2.4524348191334866e-05,-6.952066178200766e-05,-0.000218193992623128,-0.00015349058958236128,-1.8016216927208006e-05,-9.26940847421065e-05,-1.0036792446044274e-05,-1.8771244867821224e-05,-0.00015776866348460317,-0.00010442382335895672,-7.1044355536287185e-06,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-0.03984088823199272,-inf,-0.05854528397321701,-inf,-inf,-0.22688142955303192,-inf,-0.06780519336462021,-0.00794485118240118,-0.5403568744659424,-inf,-inf,-0.03605786710977554,-0.17059312760829926,-inf,-inf,-0.019506631419062614,-inf,-inf,-inf,-inf,-0.18084488809108734,-inf,-inf,-0.03259507566690445,-inf,-0.040916040539741516,-inf,-0.07026799023151398,-0.5510795712471008,-inf,-0.1557224988937378,-0.0029470492154359818,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-0.04713467136025429,-inf,-0.0640314593911171,-0.4206749200820923,-inf,-0.07805730402469635,-0.005262039136141539,-inf,-9.00260090475058e-07,-1.2606437671536241e-08,-0.00010371991811553016,-0.00014560103591065854,-0.00011585874744923785,-7.597442890983075e-05,-8.523058204445988e-05,-4.960298247169703e-05,-2.191711973864585e-05,-2.9687746064155363e-05,-4.323858320276486e-06,-9.347793093184009e-05,-4.90376487505273e-06,-2.8085492886020802e-05,-0.00018485738837625831,-9.446496551390737e-05,-3.5279776056995615e-05,-6.00734529143665e-05,-5.612025415757671e-05,-1.981811146833934e-05,-3.293329427833669e-05,-0.00012760478421114385,-0.00017020035011228174,-1.9627610527095385e-05,-7.552886381745338e-05,-8.713579154573381e-05,-1.4563753211405128e-05,-7.790495874360204e-05,-2.529375342419371e-05,-3.5084260161966085e-05,-0.00012010461068712175,-5.405694173532538e-05,-1.5780011608512723e-06,-5.121710637467913e-05,-6.840854621259496e-05,-7.540643855463713e-05,-3.509553425828926e-05,-5.264367791824043e-05,-3.954460771637969e-05,-4.974714101990685e-05,-5.844228871865198e-05,-1.790295027603861e-05,-0.00010842084884643555,-7.074759196257219e-05,-1.1420244845794514e-05,-7.633637869730592e-05,-8.624269867141265e-06,-inf,-inf,-inf
-inf,-0.12633641064167023,-inf,-inf,-inf,-inf,-0.006490813102573156,-inf,-inf,-0.23332813382148743,-0.04060840234160423,-inf,-inf,-inf,-inf,-0.39794620871543884,-inf,-inf,-inf,-inf,-inf,-inf,-0.019657142460346222,-0.28700897097587585,-0.0328851118683815,-0.0565560907125473,-inf,-0.5628706812858582,-inf,-inf,-0.00337236444465816,-0.2631872892379761,-inf,-inf,-inf,-inf,-inf,-inf,-0.034316327422857285,-inf,-0.03509974479675293,-0.19145923852920532,-inf,-inf,-inf,-inf,-0.049889106303453445,-0.15575732290744781,-inf,-0.09412825852632523,-1.4917925909685437e-05,-3.3249211810471024e-06,-8.891631296137348e-05,-0.0001406085502821952,-9.830678027356043e-05,-7.405151700368151e-05,-5.7257992011727765e-05,-2.9450000511133112e-05,-1.7875807316158898e-05,-2.2991907826508395e-05,-1.527746644569561e-05,-6.316140206763521e-05,-1.4599015230487566e-05,-5.601194061455317e-05,-8.354461169801652e-05,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-inf,-inf,-inf,-0.16643723845481873,-0.01706114411354065,-0.0884484052658081,-inf,-inf,-inf,-0.2561120390892029,-0.042275842279195786,-inf,-inf,-0.42777055501937866,-inf,-inf,-inf,-inf,-inf,-inf,-0.007320507429540157,-inf,-inf,-inf,-inf,-0.4289323389530182,-0.01660711131989956,-0.11178945749998093,-0.02816011942923069,-0.24610945582389832,-inf,-inf,-0.06338715553283691,-inf,-inf,-inf,-inf,-0.24205419421195984,-inf,-inf,-inf,-0.6393122673034668,-0.053139831870794296,-0.15133211016654968,-0.0032425252720713615,-inf,-inf,-inf,-inf,-inf,-0.00013833872799295932,-3.092749830102548e-05,-0.00013144855620339513,-9.705057891551405e-05,-9.790172771317884e-05,-4.1600967961130664e-05,-4.936409823130816e-05,-6.390089401975274e-05,-4.893957157037221e-05,-9.78026946540922e-06,-0.00017511412443127483,-3.550345718394965e-05,-6.0078109527239576e-05,-2.301376844116021e-05,-4.887776594841853e-05,-2.466172372805886e-05,-0.00010027602547779679,-4.000642729806714e-05,-5.1625847845571116e-05,-7.907693543529604e-06,-1.1862807696161326e-06,-0.00022116176842246205,-2.858248080883641e-06,-5.189637522562407e-05,-8.814672764856368e-05,-4.6933342673582956e-05,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-0.036080099642276764,-inf,-inf,-0.5487868785858154,-inf,-inf,-0.0015310338931158185,-inf,-inf,-inf,-0.05936020240187645,-inf,-inf,-inf,-inf,-0.29925137758255005,-inf,-inf,-inf,-inf,-inf,-inf,-0.02377241663634777,-inf,-inf,-0.06477370858192444,-inf,-inf,-inf,-inf,-0.016464704647660255,-0.18108870089054108,-0.018392862752079964,-inf,-0.10525289922952652,-0.3642261326313019,-inf,-inf,-inf,-0.3647676706314087,-inf,-0.12079688906669617,-inf,-inf,-inf,-inf,-0.02064131386578083,-0.1288682371377945,-0.03933208808302879,-0.0813252255320549,-8.33330923342146e-05,-1.3048450455244165e-05,-8.206466736737639e-05,-0.00012806235463358462,-8.073238132055849e-05,-6.67112399241887e-05,-3.481647217995487e-05,-1.9579270883696154e-05,-2.406312523817178e-05,-1.8302644093637355e-05,-5.768848495790735e-06,-9.442083683097735e-05,-3.5004834444407606e-06,-1.1604508472373709e-05,-0.00018015333625953645,-6.879081047372892e-05,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
-0.022338517010211945,-inf,-0.03729279711842537,-0.5402995944023132,-inf,-inf,-inf,-0.15399809181690216,-inf,-inf,-0.02562103420495987,-inf,-inf,-0.061177920550107956,-inf,-0.3683129549026489,-0.031053485348820686,-inf,-inf,-inf,-inf,-0.11467999964952469,-0.05697343870997429,-0.549611508846283,-inf,-inf,-0.001333440188318491,-inf,-inf,-inf,-inf,-0.16873206198215485,-0.026102209463715553,-inf,-0.01652049832046032,-0.3642379939556122,-inf,-0.10198937356472015,-0.0578499399125576,-0.31648141145706177,-inf,-inf,-0.03094901703298092,-inf,-inf,-inf,-inf,-0.09983912855386734,-inf,-inf,-7.1243816819333006e-06,-5.606922513834434e-06,-0.00012147172674303874,-0.00015137362061068416,-0.00015599399921484292,-3.141108390991576e-05,-4.508344136411324e-05,-8.872593025444075e-05,-3.91682842746377e-05,-3.990606273873709e-05,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
