obj,x_1,x_2,x_3,x_4,x_5,iterations
,,,,,,181
,,,,,,197
,,,,,,151
,,,,,,181
,,,,,,184
,,,,,,173
,,,,,,162
,,,,,,180
,,,,,,188
,,,,,,172
,,,,,,186
,,,,,,209
,,,,,,177
,,,,,,205
,,,,,,178
,,,,,,179
,,,,,,167
,,,,,,179
,,,,,,164
,,,,,,197
,,,,,,178
,,,,,,222
,,,,,,201
,,,,,,177
,,,,,,196
,,,,,,149
,,,,,,174
,,,,,,210
,,,,,,186
,,,,,,193
,,,,,,174
,,,,,,184
,,,,,,175
,,,,,,178
,,,,,,182
,,,,,,204
,,,,,,199
,,,,,,196
,,,,,,187
,,,,,,182
,,,,,,215
,,,,,,194
,,,,,,198
,,,,,,188
,,,,,,208
,,,,,,216
,,,,,,203
,,,,,,182
,,,,,,182
,,,,,,204
,,,,,,193
,,,,,,162
,,,,,,186
,,,,,,182
,,,,,,208
,,,,,,190
,,,,,,206
,,,,,,181
,,,,,,190
,,,,,,168
,,,,,,183
,,,,,,186
,,,,,,180
,,,,,,178
,,,,,,190
,,,,,,213
,,,,,,196
,,,,,,158
,,,,,,199
,,,,,,182
,,,,,,188
,,,,,,202
,,,,,,186
,,,,,,181
,,,,,,172
,,,,,,211
,,,,,,176
,,,,,,206
,,,,,,173
,,,,,,197
,,,,,,198
,,,,,,180
,,,,,,178
,,,,,,169
,,,,,,196
,,,,,,195
,,,,,,174
,,,,,,162
,,,,,,197
,,,,,,181
,,,,,,178
,,,,,,189
,,,,,,195
,,,,,,179
-3.706925107038256,0.3308220701854954,0.41752985641265966,0.4624340900857874,0.35086342893615374,0.5898720118002234,193
,,,,,,208
,,,,,,197
,,,,,,182
,,,,,,210
,,,,,,248
