,Mean_S1,Lower_S1,Upper_S1,S1,Mean_S2,Lower_S2,Upper_S2,S2,Mean_S123,Lower_S123,Upper_S123,S123
iter_1,,,,0,,,,0,,,,0
iter_2,,,,0,,,,0,,,,0
iter_3,,,,0,,,,0,,,,0
iter_4,1.358018940061033,,,1,,,,0,,,,0
iter_5,1.358018940061033,,,1,,,,0,1.2075588870036897,,,1
iter_6,1.2881617508509506,1.1133894779429314,1.4124394891386742,2,,,,0,1.2075588870036897,,,1
iter_7,1.2881617508509506,1.1133894779429314,1.4124394891386742,2,,,,0,1.2075588870036897,,,1
iter_8,1.2881617508509506,1.1133894779429314,1.4124394891386742,2,,,,0,1.1959732448231677,,,1
iter_9,1.2457086638682138,1.1363616219294845,1.3329877001896735,3,,,,0,1.1959732448231677,,,1
iter_10,1.2433935481600187,1.1391388499997581,1.3274031398036696,3,,,,0,1.1861803449668749,,,1
iter_11,1.2433935481600187,1.1391388499997581,1.3274031398036696,3,,,,0,1.2140215283434674,1.1576612731941422,1.263900705203259,2
iter_12,1.208903588147268,1.1065129385648356,1.2917005409566324,4,,,,0,1.1820428116765611,1.1022788927684803,1.24940531810717,3
iter_13,1.207786811787218,1.1036830194124845,1.2916985522704567,4,1.3036130593638469,,,1,1.1820428116765611,1.1022788927684803,1.24940531810717,3
iter_14,1.1813427921793098,1.0765930057266644,1.2656730185212397,5,1.2619539233576784,,,1,1.122296292915322,1.0448411785726281,1.1880059173856958,5
iter_15,1.1690008974708983,1.0581804923194083,1.2572142202278098,5,1.191840036295187,,,1,1.1202883518498337,1.0426750287800406,1.1861117206411167,5
iter_16,1.1636467276375086,1.0641647961070324,1.2445341631203268,5,1.191840036295187,,,1,1.1202883518498337,1.0426750287800406,1.1861117206411167,5
iter_17,1.1359717271128698,0.9992237227425329,1.239816175968487,5,1.168853439406345,1.1199312079221018,1.212818413788161,2,1.1202883518498337,1.0426750287800406,1.1861117206411167,5
iter_18,1.132532350428871,0.9945767117321256,1.237069256657738,5,1.1590613626440656,1.1302121011195325,1.1861130202164807,2,1.1202883518498337,1.0426750287800406,1.1861117206411167,5
iter_19,1.1246018366084458,0.9744290115369234,1.2359772396053448,5,1.1590613626440656,1.1302121011195325,1.1861130202164807,2,1.1128812568202566,1.024455414120894,1.1863128881229215,5
iter_20,1.1143737115336982,0.9470807125521171,1.2348455619735201,5,1.1363055299181488,1.119611578667218,1.1523814612579455,2,1.1128812568202566,1.024455414120894,1.1863128881229215,5
iter_21,1.1067347220946953,0.937809352250828,1.2280456816379262,5,1.0832458138074619,0.9548830684229902,1.1821973488845803,3,1.1067272477879608,1.0167634479444292,1.1812151850942116,5
iter_22,1.096023908837733,0.9048699512188464,1.2283025110177235,5,1.0832458138074619,0.9548830684229902,1.1821973488845803,3,1.1067272477879608,1.0167634479444292,1.1812151850942116,5
iter_23,1.096023908837733,0.9048699512188464,1.2283025110177235,5,1.082169801313314,0.9550653032095293,1.1803741059474715,3,1.0858595181853197,0.9577067073669224,1.184686619893915,5
iter_24,1.0936571933435717,0.9029944040243342,1.2257023636866662,5,1.082169801313314,0.9550653032095293,1.1803741059474715,3,1.0697847950408141,0.9299872517163253,1.1753720383382782,5
iter_25,1.0933125455586392,0.9024555194798161,1.2254500751031985,5,1.082169801313314,0.9550653032095293,1.1803741059474715,3,1.0697847950408141,0.9299872517163253,1.1753720383382782,5
iter_26,1.0820867893871569,0.9099138548655469,1.205053026414683,5,1.0784497392680383,0.9554038804053671,1.1742200528662192,3,1.0697847950408141,0.9299872517163253,1.1753720383382782,5
iter_27,1.0227928227393186,0.8364088055872428,1.1527878838738401,5,1.074802845030563,0.955269215831298,1.1684372062251298,3,1.0697847950408141,0.9299872517163253,1.1753720383382782,5
iter_28,1.0224235564928834,0.836176619065332,1.1523524423495326,5,1.074802845030563,0.955269215831298,1.1684372062251298,3,1.0433625556954123,0.9476187851778342,1.1217645632209399,5
iter_29,1.0224235564928834,0.836176619065332,1.1523524423495326,5,1.074802845030563,0.955269215831298,1.1684372062251298,3,1.0433625556954123,0.9476187851778342,1.1217645632209399,5
iter_30,1.0224235564928834,0.836176619065332,1.1523524423495326,5,1.0166612274826954,0.6642737192161127,1.2086053045701133,3,1.0306640280283554,0.9034022643507571,1.1289619161957967,5
iter_31,1.0197367458573172,0.8338569807878734,1.1494882264695796,5,0.981272562593798,0.6420501753831471,1.169383030335232,3,1.026230018886102,0.8998978265496161,1.1239739643012168,5
iter_32,1.019303936972066,0.8334431686193783,1.1490462329601059,5,0.9879250787583372,0.7812512729437042,1.1273836596804399,4,1.0250834295798115,0.9001552043845348,1.121987135617934,5
