,Mean_S1,Lower_S1,Upper_S1,S1,Mean_S2,Lower_S2,Upper_S2,S2,Mean_S3,Lower_S3,Upper_S3,S3
iter_1,,,,0,,,,0,,,,0
iter_2,,,,0,,,,0,,,,0
iter_3,,,,0,,,,0,,,,0
iter_4,,,,0,,,,0,,,,0
iter_5,,,,0,1.207289510255668,,,1,1.340456420683897,,,1
iter_6,,,,0,1.207289510255668,,,1,1.340456420683897,,,1
iter_7,,,,0,1.207289510255668,,,1,1.2409641780905147,0.9359108779985269,1.418388298390729,2
iter_8,1.2344202905372335,1.1288326051999054,1.3192917969649882,3,1.1956965829009185,,,1,1.2409641780905147,0.9359108779985269,1.418388298390729,2
iter_9,1.2344202905372335,1.1288326051999054,1.3192917969649882,3,1.1956965829009185,,,1,1.2409641780905147,0.9359108779985269,1.418388298390729,2
iter_10,1.223479369728112,1.1455298128420877,1.2895442377973874,4,1.1858973716761412,,,1,1.232387204192512,0.881947383199377,1.42377352984713,2
iter_11,1.223479369728112,1.1455298128420877,1.2895442377973874,4,1.2137561316703034,1.1573590873456439,1.263664112199949,2,1.2297376003570755,1.0610323017990333,1.3509357119917518,3
iter_12,1.223479369728112,1.1455298128420877,1.2895442377973874,4,1.181757128719008,1.1019355901953989,1.2491606928472683,3,1.195944417897527,1.0920129099221065,1.2797443762316472,4
iter_13,1.2218102246085951,1.147436177000876,1.2852904283032285,4,1.181757128719008,1.1019355901953989,1.2491606928472683,3,1.195944417897527,1.0920129099221065,1.2797443762316472,4
iter_14,1.2218102246085951,1.147436177000876,1.2852904283032285,4,1.1219684604766842,1.044449311248201,1.1877241314719669,5,1.182259241866807,1.095993510060141,1.2541965448535433,4
iter_15,1.2218102246085951,1.147436177000876,1.2852904283032285,4,1.1199589996070722,1.0422812011504696,1.185828702618719,5,1.182259241866807,1.095993510060141,1.2541965448535433,4
iter_16,1.20640313423472,1.1127000504020044,1.28343319553803,4,1.1199589996070722,1.0422812011504696,1.185828702618719,5,1.182259241866807,1.095993510060141,1.2541965448535433,4
iter_17,1.1859903250073072,1.0667721054033452,1.279431506624622,4,1.1199589996070722,1.0422812011504696,1.185828702618719,5,1.1769935929093762,1.086183295235329,1.2520602409586719,4
iter_18,1.1859903250073072,1.0667721054033452,1.279431506624622,4,1.1199589996070722,1.0422812011504696,1.185828702618719,5,1.1769935929093762,1.086183295235329,1.2520602409586719,4
iter_19,1.1859903250073072,1.0667721054033452,1.279431506624622,4,1.1125462369596115,1.0240447051060377,1.1860300012082943,5,1.1769935929093762,1.086183295235329,1.2520602409586719,4
iter_20,1.1737566482347632,1.0460494263625628,1.2723193206785122,4,1.1125462369596115,1.0240447051060377,1.1860300012082943,5,1.1589453564276406,1.0289764702085171,1.2588457293860322,4
iter_21,1.1505764058177834,1.0732282781535405,1.2162090717271066,4,1.1063874449874376,1.0163453963613303,1.1809289570174897,5,1.1589453564276406,1.0289764702085171,1.2588457293860322,4
iter_22,1.1505764058177834,1.0732282781535405,1.2162090717271066,4,1.1063874449874376,1.0163453963613303,1.1809289570174897,5,1.1563702940458778,1.0198271804432764,1.2600969575513545,4
iter_23,1.1348514537299403,1.0384718745581099,1.2136787169581267,4,1.0855029824636377,0.9572277277065048,1.1844026713421678,5,1.1563702940458778,1.0198271804432764,1.2600969575513545,4
iter_24,1.1348514537299403,1.0384718745581099,1.2136787169581267,4,1.0694148097182672,0.9294766852140249,1.1750819319327557,5,1.1563702940458778,1.0198271804432764,1.2600969575513545,4
iter_25,1.126521671215018,1.0469604245013968,1.193739686468822,4,1.0694148097182672,0.9294766852140249,1.1750819319327557,5,1.1552348933751546,1.0157183105496879,1.2606623719658294,4
iter_26,1.1196957181703973,1.053190185010522,1.1773564283290903,4,1.0694148097182672,0.9294766852140249,1.1750819319327557,5,1.1552348933751546,1.0157183105496879,1.2606623719658294,4
iter_27,1.1196957181703973,1.053190185010522,1.1773564283290903,4,1.0694148097182672,0.9294766852140249,1.1750819319327557,5,1.1552348933751546,1.0157183105496879,1.2606623719658294,4
iter_28,1.1196957181703973,1.053190185010522,1.1773564283290903,4,1.0429693513189795,0.9471285430550742,1.1214363290020877,5,1.151624922957687,1.0095716968620407,1.2584889793251046,4
iter_29,1.1196957181703973,1.053190185010522,1.1773564283290903,4,1.0429693513189795,0.9471285430550742,1.1214363290020877,5,1.151624922957687,1.0095716968620407,1.2584889793251046,4
iter_30,1.10176855281191,1.009125056131605,1.1780819895307262,4,1.030259151401709,0.9028594473673913,1.128639078823472,5,1.1457251778991184,1.004884985740518,1.2519038960485056,4
