0,1,2,3
4.0,2.0,0.78,0.98
4.0,2.0,0.78,0.95
3.0,1.5,0.78,0.92
3.0,2.0,0.76,0.95
4.0,2.5,0.8,0.95
4.0,2.5,0.76,0.98
5.0,1.5,0.76,0.95
3.0,2.0,0.76,0.92
5.0,1.5,0.78,0.95
4.0,1.5,0.8,0.92
4.0,2.5,0.8,0.95
5.0,2.0,0.76,0.98
4.0,2.5,0.78,0.98
3.0,1.5,0.78,0.98
3.0,2.5,0.8,0.92
5.0,2.0,0.78,0.95
4.0,1.5,0.76,0.92
5.0,2.5,0.76,0.98
3.0,2.0,0.78,0.92
4.0,2.0,0.8,0.92
4.0,2.0,0.78,0.95
4.0,1.5,0.78,0.95
4.0,1.5,0.76,0.95
4.0,2.0,0.78,0.95
5.0,2.0,0.78,0.92
4.0,2.5,0.78,0.98
4.0,2.0,0.8,0.98
3.0,2.5,0.78,0.98
4.0,2.5,0.78,0.95
4.0,1.5,0.76,0.95
5.0,2.5,0.8,0.95
5.0,1.5,0.78,0.98
4.0,2.0,0.78,0.92
4.0,2.0,0.8,0.95
3.0,2.0,0.78,0.95
3.0,2.0,0.76,0.95
3.0,2.0,0.78,0.92
4.0,2.0,0.78,0.95
5.0,2.0,0.8,0.95
5.0,2.0,0.8,0.95
